,satisfaction_level,average_montly_hours,promotion_last_5years,Salary_high,Salary_low,Salary_medium,Predicted Left company
7432,1.0,141,0,0,0,1,0
6050,0.53,181,0,0,0,1,0
85,0.11,305,0,0,1,0,1
5256,0.79,221,0,0,1,0,0
10606,0.87,162,0,0,1,0,0
275,0.81,238,0,0,1,0,0
6594,0.98,259,0,1,0,0,0
2073,0.39,205,0,0,1,0,0
1035,0.1,256,0,0,0,1,1
13667,0.19,157,0,0,1,0,1
13103,0.64,165,0,0,1,0,0
10626,0.16,206,0,0,0,1,1
7620,0.73,165,0,0,1,0,0
1999,0.4,148,0,0,1,0,0
11536,0.56,171,0,0,1,0,0
2970,0.74,230,0,0,1,0,0
10170,0.8,212,0,1,0,0,0
6430,0.63,141,0,0,0,1,0
9137,0.69,183,0,0,1,0,0
7868,0.33,173,0,0,1,0,0
6640,0.32,255,0,0,0,1,0
7800,0.61,121,0,0,0,1,0
12673,0.37,149,0,0,1,0,0
13546,0.83,165,0,0,0,1,0
5882,0.59,169,0,0,1,0,0
663,0.1,256,0,0,1,0,1
415,0.42,155,0,0,0,1,0
9575,0.62,137,0,0,0,1,0
3331,0.84,270,0,0,1,0,0
8277,0.91,238,0,0,1,0,0
5971,0.78,132,0,0,0,1,0
2276,0.79,240,0,0,1,0,0
11433,0.75,250,0,0,0,1,0
10881,0.5,137,0,0,1,0,0
1703,0.73,206,0,0,0,1,0
10708,0.56,152,0,0,0,1,0
12605,0.86,252,0,0,1,0,0
2445,0.77,231,0,0,0,1,0
6949,0.87,149,0,0,0,1,0
14608,0.09,293,0,0,1,0,1
9109,0.91,195,0,0,0,1,0
3657,0.78,238,0,1,0,0,0
1833,0.1,266,0,0,1,0,1
5173,0.8,220,0,0,0,1,0
3932,0.86,259,0,0,0,1,0
8056,0.79,266,0,0,1,0,0
3201,0.67,217,0,1,0,0,0
11289,0.98,166,0,0,0,1,0
9281,0.32,151,0,0,1,0,0
9058,0.78,173,0,0,1,0,0
9533,0.29,211,0,0,1,0,1
9086,0.68,274,0,0,0,1,0
11900,0.83,222,0,0,0,1,0
10108,0.82,238,0,0,1,0,0
8526,0.89,272,0,0,1,0,0
1538,0.41,135,0,0,1,0,0
2671,0.97,169,0,0,1,0,0
12211,0.39,294,0,0,1,0,0
13577,0.76,217,0,0,0,1,0
452,0.1,286,0,0,0,1,1
8260,0.42,279,0,0,0,1,0
6338,0.88,235,0,0,1,0,0
14063,0.53,240,0,0,1,0,0
10350,1.0,195,0,0,0,1,0
3767,0.92,155,0,0,0,1,0
3841,0.76,141,0,0,0,1,0
8031,0.66,224,0,0,0,1,0
5694,0.89,137,0,0,1,0,0
5759,0.55,220,0,0,1,0,0
6775,0.9,226,0,0,1,0,0
342,0.9,232,0,0,0,1,0
596,0.86,222,0,0,1,0,0
12656,0.79,235,0,0,0,1,0
503,0.43,155,0,0,0,1,0
4700,0.73,243,0,0,0,1,0
2874,0.54,221,0,0,0,1,0
13899,0.94,144,0,0,1,0,0
12575,0.39,129,0,0,0,1,0
9365,0.85,264,0,0,1,0,0
5607,0.26,232,0,0,1,0,1
7348,0.61,146,0,0,1,0,0
11831,0.81,212,0,0,0,1,0
6710,0.49,231,0,0,0,1,0
9771,0.63,226,0,0,0,1,0
7631,0.77,190,0,0,1,0,0
9801,0.58,216,0,1,0,0,0
6313,0.24,273,0,0,1,0,1
263,0.11,260,0,0,0,1,1
4148,0.9,258,0,0,1,0,0
1474,0.79,226,0,0,0,1,0
11385,0.67,141,0,0,1,0,0
5952,0.93,189,0,0,1,0,0
12933,0.62,184,0,0,1,0,0
11856,0.81,268,0,0,1,0,0
13129,0.64,266,0,0,1,0,0
5627,0.65,267,0,0,0,1,0
8906,0.87,212,0,0,1,0,0
6484,0.23,163,0,0,0,1,0
7180,0.52,174,0,0,0,1,0
10400,0.83,186,0,0,0,1,0
14467,0.11,266,0,0,0,1,1
7284,0.74,192,0,0,1,0,0
5168,0.6,191,0,0,0,1,0
11491,0.61,146,0,0,1,0,0
8030,0.76,172,0,0,0,1,0
3341,0.64,218,0,0,0,1,0
5716,0.62,103,0,0,0,1,0
6800,0.63,205,0,0,0,1,0
6005,0.51,196,0,0,1,0,0
8713,0.81,198,0,0,1,0,0
6746,0.85,104,0,0,1,0,0
8058,0.6,259,0,0,1,0,0
6993,0.5,172,0,0,0,1,0
13913,0.87,174,0,0,1,0,0
11105,0.37,177,0,1,0,0,0
14664,0.37,145,0,0,0,1,0
9732,0.92,111,0,0,0,1,0
8122,0.82,253,0,0,1,0,0
2390,0.54,141,0,0,1,0,0
3709,0.69,267,0,0,1,0,0
5657,0.86,234,0,0,1,0,0
1271,0.11,288,0,0,0,1,1
9768,0.76,175,0,0,0,1,0
7610,0.49,185,0,0,0,1,0
11636,0.41,221,0,0,0,1,0
11091,0.86,212,0,0,0,1,0
10309,0.61,161,0,1,0,0,0
1789,0.41,150,0,0,1,0,0
601,0.84,222,0,0,1,0,0
9777,0.78,216,0,0,0,1,0
3929,0.73,210,0,0,0,1,0
12269,0.38,139,0,0,0,1,0
5974,0.73,266,0,0,0,1,0
10507,0.54,166,0,0,0,1,0
6437,0.53,259,0,0,0,1,0
6128,0.52,186,0,0,0,1,0
5750,0.75,209,0,0,0,1,0
6510,0.62,271,0,0,0,1,0
11935,0.5,180,1,1,0,0,0
4360,0.74,258,0,0,0,1,0
7323,0.36,105,0,0,1,0,0
9343,0.99,213,0,1,0,0,0
12301,0.12,278,0,0,0,1,1
7703,0.18,240,0,0,1,0,1
3530,0.71,192,0,0,0,1,0
4502,0.72,203,1,0,0,1,0
9238,0.61,243,0,0,0,1,0
11452,0.82,268,0,1,0,0,0
3934,0.22,131,0,0,0,1,0
6603,0.46,140,0,1,0,0,0
5629,0.77,162,0,0,0,1,0
507,0.39,158,0,0,1,0,0
4477,0.83,195,0,0,1,0,0
8195,0.56,251,0,0,0,1,0
5546,0.88,162,0,0,0,1,0
8394,0.65,240,0,0,0,1,0
11647,0.31,104,0,0,0,1,0
11542,0.86,162,0,0,0,1,0
5061,0.9,253,0,0,0,1,0
2366,0.22,199,0,0,0,1,0
11087,0.55,169,0,0,0,1,0
4361,0.72,158,0,0,0,1,0
26,0.82,239,0,0,1,0,0
4456,0.63,228,0,0,1,0,0
3463,0.79,136,0,0,0,1,0
276,0.1,267,0,0,1,0,1
6577,0.24,231,0,0,1,0,1
1398,0.39,156,0,1,0,0,0
4084,0.59,227,0,0,1,0,0
7083,0.58,122,0,1,0,0,0
13633,0.55,254,0,1,0,0,0
6506,0.94,207,0,0,0,1,0
12795,0.61,238,0,0,0,1,0
14392,0.1,261,0,0,0,1,1
808,0.71,300,0,0,0,1,0
7648,0.53,158,0,0,0,1,0
1903,0.85,273,0,0,0,1,0
7596,0.84,179,0,0,1,0,0
1943,0.09,296,0,0,0,1,1
7446,0.74,157,0,0,0,1,0
7978,0.69,272,0,0,1,0,0
4178,0.95,270,0,0,0,1,0
7587,0.51,180,0,0,1,0,0
8113,0.75,229,0,0,0,1,0
11697,0.7,168,0,0,1,0,0
5226,0.93,183,0,0,1,0,0
9269,0.68,227,0,0,0,1,0
8386,0.48,141,0,0,1,0,0
6565,0.48,105,0,0,1,0,0
2198,0.55,248,0,0,1,0,0
4937,0.56,173,0,0,0,1,0
1862,0.1,269,0,0,0,1,1
1834,0.09,295,0,0,1,0,1
14715,0.78,217,0,0,0,1,0
7341,0.95,155,0,0,0,1,0
4050,0.94,250,0,0,1,0,0
9438,0.65,233,0,0,1,0,0
11396,0.63,180,0,1,0,0,0
11455,0.63,179,0,0,1,0,0
3284,0.85,181,0,0,1,0,0
10907,0.18,282,0,0,0,1,1
2540,0.9,199,0,0,1,0,0
13095,0.67,254,0,0,1,0,0
14057,0.76,230,0,0,1,0,0
3677,0.83,156,0,0,1,0,0
8221,0.7,246,0,0,0,1,0
12158,0.39,136,0,0,1,0,0
7398,0.96,158,0,0,1,0,0
9464,0.52,253,0,0,0,1,0
3279,0.69,188,0,0,0,1,0
1225,0.39,127,0,0,1,0,0
14464,0.87,248,0,0,1,0,0
3507,0.79,264,0,0,0,1,0
3449,0.99,155,0,0,1,0,0
13600,0.16,182,0,0,1,0,1
3867,0.71,142,0,0,1,0,0
13650,0.77,260,0,0,0,1,0
4900,0.83,233,0,0,1,0,0
7042,0.53,189,0,0,1,0,0
1695,0.78,272,0,0,1,0,0
7971,0.8,256,0,0,1,0,0
2783,0.61,247,0,0,1,0,0
7405,0.55,140,0,0,0,1,0
9139,0.69,225,0,0,1,0,0
12845,0.56,230,0,1,0,0,0
4234,0.89,147,0,0,0,1,0
6332,0.98,253,0,0,0,1,0
7724,0.51,272,0,0,0,1,0
10935,0.8,271,1,0,0,1,0
7908,0.23,154,0,0,0,1,0
12379,0.77,231,0,0,0,1,0
3194,0.57,177,0,1,0,0,0
6387,0.61,192,0,0,1,0,0
11067,0.51,185,0,0,1,0,0
14113,0.93,255,0,0,0,1,0
2395,0.77,266,0,0,1,0,0
8293,0.89,237,0,0,0,1,0
10569,0.84,138,0,0,1,0,0
12081,0.38,151,0,0,1,0,0
5833,0.53,201,0,0,0,1,0
968,0.42,130,0,0,0,1,0
6321,0.67,133,0,0,0,1,0
5593,0.57,238,0,0,0,1,0
10000,0.93,255,0,1,0,0,0
9964,0.61,185,0,0,0,1,0
12265,0.84,251,0,0,0,1,0
5279,0.62,198,0,0,0,1,0
2653,0.38,211,0,0,1,0,0
13424,0.93,176,1,0,0,1,0
12608,0.45,134,0,0,0,1,0
13907,0.73,177,0,0,1,0,0
8975,0.88,181,0,0,1,0,0
12783,0.66,225,0,0,1,0,0
1947,0.72,257,0,0,0,1,0
4659,0.82,235,0,0,0,1,0
9083,0.57,151,0,0,0,1,0
13318,0.87,165,0,1,0,0,0
14215,0.37,159,0,0,1,0,0
11567,0.61,184,0,0,1,0,0
3565,0.63,269,0,0,1,0,0
13368,0.52,204,0,0,0,1,0
4807,0.52,183,0,0,1,0,0
11685,0.41,142,0,0,1,0,0
4766,0.88,163,0,0,1,0,0
6065,0.7,139,0,0,0,1,0
14821,0.09,256,0,0,0,1,1
1096,0.37,129,0,0,1,0,0
1359,0.46,145,0,1,0,0,0
10813,0.76,265,0,0,1,0,0
6119,0.75,249,0,0,1,0,0
10786,0.94,262,0,0,0,1,0
3465,0.59,239,0,1,0,0,0
11966,0.92,176,0,0,1,0,0
11065,0.43,109,0,0,1,0,0
10407,0.73,216,0,0,1,0,0
13213,0.13,137,0,0,1,0,1
6436,0.29,251,0,0,0,1,0
14495,0.38,144,0,0,1,0,0
3883,0.49,181,0,0,0,1,0
5842,0.59,265,0,0,1,0,0
9684,0.38,182,0,0,0,1,0
12308,0.41,145,0,0,0,1,0
13766,0.98,154,0,0,0,1,0
8926,0.56,184,0,0,0,1,0
1107,0.72,269,0,0,1,0,0
14205,0.22,193,1,1,0,0,0
5688,0.71,219,0,1,0,0,0
10598,0.52,265,0,0,0,1,0
7696,0.88,234,0,0,1,0,0
14968,0.4,128,0,0,0,1,0
5700,0.99,199,0,0,0,1,0
1440,0.82,248,0,0,0,1,0
4210,0.87,216,0,0,0,1,0
6244,0.54,124,0,0,0,1,0
13420,0.38,188,0,0,0,1,0
13806,0.15,188,0,0,0,1,1
2608,0.52,150,0,0,1,0,0
4656,0.78,222,0,0,0,1,0
12138,0.74,249,0,0,1,0,0
4203,0.57,102,0,0,0,1,0
1346,0.73,223,0,0,1,0,0
10695,0.6,201,0,0,0,1,0
9015,0.66,192,0,0,1,0,0
7129,0.98,202,0,0,1,0,0
219,0.89,225,0,0,1,0,0
8756,0.59,226,0,0,0,1,0
9637,0.76,156,0,0,1,0,0
14345,0.36,132,0,0,1,0,0
13455,0.82,164,0,1,0,0,0
9784,0.43,102,0,0,0,1,0
13570,0.82,162,0,0,0,1,0
12430,0.89,195,0,0,1,0,0
4188,0.96,184,0,0,0,1,0
9295,0.78,97,0,0,0,1,0
2893,0.72,149,0,0,1,0,0
12305,0.45,135,0,0,0,1,0
8673,0.89,246,0,0,1,0,0
7959,0.32,192,0,1,0,0,0
1772,0.83,269,0,0,1,0,0
5605,0.51,206,0,0,0,1,0
560,0.09,279,0,0,1,0,1
12881,0.58,167,0,0,0,1,0
10566,0.72,133,0,0,1,0,0
9850,0.48,234,0,0,0,1,0
2362,0.95,234,0,0,0,1,0
35,0.1,255,0,0,1,0,1
691,0.42,218,0,0,0,1,0
6472,0.14,221,0,0,1,0,1
6704,0.51,233,0,0,1,0,0
3796,0.48,199,0,0,1,0,0
12131,0.38,140,0,0,1,0,0
2691,0.66,192,0,0,1,0,0
10011,0.87,229,0,0,0,1,0
803,0.1,310,0,0,0,1,1
5556,0.85,203,0,1,0,0,0
14778,0.1,282,0,0,0,1,1
7419,0.77,238,0,1,0,0,0
4398,0.44,133,0,0,0,1,0
5452,0.5,271,0,0,1,0,0
11874,0.73,274,0,1,0,0,0
10730,0.74,210,0,0,1,0,0
309,0.1,285,0,0,0,1,1
11237,0.24,282,0,0,1,0,1
1994,0.43,156,0,0,1,0,0
3360,0.52,232,0,0,1,0,0
49,0.43,147,0,0,1,0,0
11956,0.85,152,0,0,1,0,0
1374,0.78,253,0,0,1,0,0
3980,0.91,260,0,0,1,0,0
13752,0.51,233,0,0,0,1,0
9996,0.97,166,0,1,0,0,0
9686,0.55,206,0,0,0,1,0
4816,0.6,261,0,0,0,1,0
7148,0.33,186,0,0,0,1,0
11188,0.79,158,0,0,1,0,0
6783,0.98,158,0,0,0,1,0
13841,0.68,162,0,1,0,0,0
4879,0.43,180,0,0,1,0,0
7157,0.89,167,0,0,1,0,0
8206,0.92,183,0,0,1,0,0
12840,0.38,196,0,0,0,1,0
319,0.4,130,0,0,1,0,0
7252,0.68,147,0,0,0,1,0
2216,0.97,162,0,0,0,1,0
12238,0.43,146,0,0,1,0,0
6998,0.54,185,0,0,0,1,0
6629,0.32,283,0,0,1,0,1
8864,0.81,142,0,0,1,0,0
1997,0.41,157,0,0,1,0,0
6088,0.61,103,0,1,0,0,0
13272,0.9,203,0,0,0,1,0
13638,0.84,236,0,0,1,0,0
455,0.44,127,0,0,0,1,0
13976,0.92,190,0,0,1,0,0
7371,0.21,221,0,0,0,1,0
2896,0.6,187,0,0,1,0,0
14490,0.82,233,0,0,1,0,0
5791,0.48,236,0,0,1,0,0
6199,0.81,271,0,0,1,0,0
3069,0.98,198,0,0,0,1,0
1370,0.74,263,0,0,1,0,0
14492,0.27,301,0,0,1,0,1
3832,0.69,226,0,1,0,0,0
6989,0.68,182,0,0,0,1,0
11596,0.59,197,0,0,0,1,0
9164,0.5,204,0,0,0,1,0
13634,0.53,257,0,1,0,0,0
14830,0.43,141,0,0,1,0,0
11280,0.96,205,0,0,0,1,0
3157,0.51,183,0,0,0,1,0
858,0.74,253,0,0,1,0,0
5401,0.79,191,0,0,1,0,0
262,0.44,131,0,0,0,1,0
8988,0.96,238,0,0,1,0,0
2115,0.42,270,0,0,1,0,0
12900,0.89,275,0,0,0,1,0
13791,0.51,182,0,0,1,0,0
5784,0.65,277,0,0,0,1,0
5206,0.89,265,0,0,0,1,0
2809,0.5,212,0,0,1,0,0
394,0.42,133,0,0,1,0,0
7828,0.75,264,0,0,0,1,0
6924,0.36,162,0,0,1,0,0
11820,0.74,262,0,0,1,0,0
7603,0.58,173,0,0,0,1,0
3369,0.69,135,0,0,1,0,0
1411,0.32,280,0,0,1,0,1
10045,0.78,158,0,0,0,1,0
13181,0.48,251,0,0,0,1,0
10940,0.95,270,1,0,0,1,0
5142,0.5,275,0,0,1,0,0
7478,0.77,232,0,0,1,0,0
5566,0.98,191,0,0,1,0,0
1810,0.43,157,0,0,1,0,0
8166,0.21,235,0,0,1,0,1
755,0.37,160,0,0,1,0,0
9888,0.68,158,0,0,0,1,0
5897,0.57,156,0,0,0,1,0
1653,0.1,282,0,0,1,0,1
7223,0.83,229,0,0,0,1,0
2085,0.81,100,0,0,1,0,0
6863,0.65,171,0,0,0,1,0
9551,0.86,234,0,0,0,1,0
14270,0.85,225,0,0,1,0,0
14093,0.6,104,0,0,1,0,0
8008,0.98,168,0,0,0,1,0
12286,0.11,306,0,0,1,0,1
13721,0.47,246,0,0,1,0,0
9757,0.85,280,0,0,0,1,0
10892,0.64,165,0,0,1,0,0
8089,0.63,153,0,0,1,0,0
3529,0.57,267,0,0,0,1,0
391,0.45,148,0,0,1,0,0
9503,0.51,169,0,0,1,0,0
5270,0.46,172,0,0,1,0,0
8962,0.98,232,0,0,0,1,0
6772,0.54,196,0,0,1,0,0
13153,0.16,202,1,0,0,1,0
14833,0.1,247,0,0,0,1,1
2769,0.76,122,0,0,1,0,0
274,0.11,254,0,0,1,0,1
13924,0.63,187,0,1,0,0,0
7408,0.69,260,0,0,0,1,0
2815,0.93,143,0,0,1,0,0
14005,0.61,242,0,0,0,1,0
4622,0.97,185,0,0,0,1,0
14277,0.43,153,0,0,0,1,0
704,0.74,216,0,0,1,0,0
13356,0.56,154,0,0,1,0,0
7957,0.5,107,0,1,0,0,0
2419,0.97,164,0,0,1,0,0
1117,0.72,249,0,0,0,1,0
7470,0.77,145,0,0,1,0,0
9906,0.82,195,0,0,1,0,0
5693,0.88,264,0,0,1,0,0
13026,0.83,247,0,0,0,1,0
5672,0.77,167,0,0,0,1,0
6129,0.84,156,0,1,0,0,0
4367,0.83,211,0,0,1,0,0
2616,0.88,139,0,0,1,0,0
14230,0.76,262,0,0,1,0,0
1039,0.82,273,0,0,0,1,0
4213,0.24,178,0,0,1,0,1
10869,0.87,157,0,0,0,1,0
8510,0.72,230,0,0,1,0,0
14625,0.91,233,0,0,0,1,0
11031,0.78,259,0,0,1,0,0
11812,0.82,210,0,1,0,0,0
5901,0.88,144,0,0,0,1,0
4340,0.2,269,0,0,1,0,1
6904,0.52,160,0,0,0,1,0
11493,0.51,203,0,0,1,0,0
13676,0.55,178,1,0,1,0,0
13942,0.77,134,1,0,1,0,0
2668,0.91,251,0,0,1,0,0
12755,0.37,160,0,0,1,0,0
12800,0.59,159,0,0,0,1,0
12411,0.84,262,0,0,0,1,0
7968,0.45,179,0,0,1,0,0
9816,0.91,213,0,0,0,1,0
4605,0.85,210,0,0,1,0,0
2655,0.58,202,0,0,1,0,0
12120,0.14,158,0,0,1,0,1
14534,0.11,287,0,0,1,0,1
9529,0.51,225,0,0,1,0,0
11693,0.14,179,0,0,1,0,1
14377,0.43,129,0,0,1,0,0
5502,0.48,146,0,0,0,1,0
975,0.36,136,0,0,1,0,0
14769,0.43,136,0,0,1,0,0
9255,0.71,161,0,0,1,0,0
13893,0.58,133,0,0,0,1,0
6122,0.45,168,0,0,1,0,0
13329,0.49,125,0,0,1,0,0
8462,0.56,272,0,0,0,1,0
3817,0.28,139,0,0,0,1,0
3312,0.82,210,0,0,0,1,0
2753,0.54,201,0,0,0,1,0
7340,0.67,229,0,0,0,1,0
5762,0.79,212,0,0,1,0,0
4492,0.86,170,0,0,1,0,0
12396,0.46,139,0,0,1,0,0
3327,0.55,242,0,0,1,0,0
3640,0.63,229,0,0,0,1,0
4721,0.37,186,0,0,1,0,0
11426,0.77,286,0,1,0,0,0
1858,0.38,128,0,0,0,1,0
9960,0.51,222,0,0,1,0,0
509,0.37,155,0,0,1,0,0
4286,0.88,200,0,0,0,1,0
2294,0.75,153,0,0,0,1,0
7337,0.77,223,0,0,0,1,0
8583,0.78,227,0,0,0,1,0
6966,0.9,185,0,0,1,0,0
490,0.53,281,0,0,0,1,0
9790,0.72,229,0,0,0,1,0
3566,0.69,151,0,0,1,0,0
1478,0.36,159,0,0,0,1,0
8692,0.95,247,0,0,0,1,0
12555,0.1,281,0,0,1,0,1
5767,0.59,191,0,0,1,0,0
9869,0.77,204,0,1,0,0,0
8309,0.97,199,0,1,0,0,0
13614,0.48,220,1,0,0,1,0
6649,0.77,281,0,0,1,0,0
13528,0.96,177,0,0,1,0,0
4705,0.81,143,0,0,1,0,0
12963,0.94,145,0,0,0,1,0
8159,0.89,190,0,0,0,1,0
3138,0.51,149,0,0,1,0,0
4410,0.83,261,0,0,1,0,0
13107,0.69,227,0,0,0,1,0
6230,0.56,165,0,0,1,0,0
2820,0.92,141,0,0,1,0,0
2797,0.57,202,0,0,0,1,0
7249,0.46,261,0,0,0,1,0
2182,0.26,152,0,0,0,1,0
976,0.92,307,0,0,1,0,0
6291,0.59,107,0,0,0,1,0
3569,0.73,167,0,0,0,1,0
5949,0.48,174,0,0,1,0,0
8384,0.96,213,0,0,0,1,0
8553,0.56,130,0,0,1,0,0
3408,0.56,249,0,0,1,0,0
8771,0.9,172,0,0,0,1,0
6071,0.64,213,0,0,0,1,0
64,0.11,286,0,0,0,1,1
12220,0.1,286,0,0,1,0,1
359,0.09,275,0,0,1,0,1
443,0.81,245,0,0,1,0,0
11952,0.52,239,0,0,0,1,0
10278,0.57,251,0,1,0,0,0
12339,0.1,246,0,0,0,1,1
495,0.82,263,0,0,0,1,0
5667,0.72,244,0,0,0,1,0
10365,0.63,233,0,0,0,1,0
296,0.39,156,0,0,0,1,0
8142,0.9,260,0,0,0,1,0
44,0.09,276,0,0,1,0,1
7866,0.69,139,0,0,1,0,0
3316,0.68,241,0,0,1,0,0
10168,0.89,176,0,1,0,0,0
9415,0.25,182,0,0,1,0,1
11614,0.25,279,0,0,1,0,1
2716,0.6,227,0,0,0,1,0
11377,0.95,259,0,0,1,0,0
13197,0.89,190,0,0,1,0,0
12545,0.78,236,0,0,0,1,0
12652,0.09,290,0,0,0,1,1
11739,0.9,244,0,0,1,0,0
1480,0.09,271,0,0,0,1,1
4664,0.73,166,0,0,0,1,0
7022,0.85,201,0,0,0,1,0
7856,0.8,266,0,0,1,0,0
8634,0.5,223,0,0,1,0,0
14737,0.41,144,0,0,1,0,0
14020,0.93,110,0,0,1,0,0
9547,0.72,167,0,0,0,1,0
1822,0.43,157,0,0,0,1,0
10533,0.79,248,0,0,1,0,0
7797,0.61,287,0,0,0,1,0
4481,0.75,148,0,0,1,0,0
12315,0.73,245,0,0,1,0,0
2506,0.17,171,0,0,1,0,1
11919,0.66,235,0,0,1,0,0
5307,0.36,192,0,0,1,0,0
5550,0.38,173,0,0,0,1,0
2853,0.55,267,0,0,1,0,0
8783,0.66,248,0,1,0,0,0
12136,0.1,283,0,0,1,0,1
2515,0.73,245,0,0,1,0,0
5350,0.45,149,0,0,1,0,0
13749,0.17,224,0,0,0,1,1
13411,0.69,210,0,1,0,0,0
14813,0.1,250,0,0,1,0,1
2425,0.9,206,0,0,1,0,0
11737,0.69,215,0,1,0,0,0
7746,0.55,180,0,0,1,0,0
14124,0.96,206,0,0,0,1,0
4708,0.81,247,0,0,0,1,0
13217,0.8,248,0,0,1,0,0
7273,0.51,259,0,0,1,0,0
2916,0.12,258,0,0,0,1,1
1502,0.1,271,0,0,1,0,1
5255,0.91,178,0,0,1,0,0
8316,0.5,185,0,1,0,0,0
9618,0.72,203,0,0,0,1,0
4957,0.78,144,0,0,1,0,0
10867,0.8,173,0,0,1,0,0
13536,0.53,180,0,0,0,1,0
297,0.4,147,0,0,0,1,0
1424,0.45,149,0,0,1,0,0
1095,0.1,308,0,0,1,0,1
6834,0.97,270,0,1,0,0,0
10840,0.63,180,0,0,1,0,0
11127,0.71,148,0,0,0,1,0
12243,0.4,128,0,0,1,0,0
4185,0.95,168,0,0,0,1,0
8273,0.99,174,0,0,0,1,0
3732,0.29,162,0,0,0,1,0
13459,0.72,222,0,0,0,1,0
14024,0.39,212,0,1,0,0,0
1646,0.1,258,0,0,1,0,1
1430,0.43,156,0,0,0,1,0
10613,0.9,175,0,0,0,1,0
5417,0.83,130,0,0,1,0,0
2192,0.64,115,0,0,1,0,0
6246,0.8,199,0,0,0,1,0
14052,0.57,111,0,1,0,0,0
3860,0.88,160,0,0,1,0,0
7494,0.67,177,0,1,0,0,0
7525,0.94,150,0,0,0,1,0
1590,0.43,147,0,0,0,1,0
6080,0.31,97,0,0,1,0,0
13646,0.54,173,0,0,0,1,0
4426,0.88,133,0,0,0,1,0
14930,0.11,268,0,0,0,1,1
1299,0.89,262,0,0,1,0,0
2957,0.75,269,0,0,0,1,0
12181,0.1,261,0,0,0,1,1
6599,0.99,133,0,0,0,1,0
12624,0.38,140,0,0,1,0,0
1802,0.11,253,0,0,1,0,1
1387,0.4,135,0,0,0,1,0
8621,0.59,165,0,0,0,1,0
7813,0.69,201,0,0,1,0,0
14594,0.38,159,0,0,0,1,0
5811,0.55,237,0,0,1,0,0
10545,0.92,220,0,0,0,1,0
12696,0.1,291,0,1,0,0,0
13472,0.81,134,0,0,0,1,0
7750,0.62,198,0,0,1,0,0
1118,0.75,245,0,0,0,1,0
10402,0.99,274,0,0,1,0,0
3650,0.72,197,0,0,0,1,0
7619,0.72,231,0,0,1,0,0
419,0.82,223,0,0,0,1,0
1813,0.1,271,0,0,1,0,1
2833,0.52,206,0,0,0,1,0
8081,0.77,241,0,0,0,1,0
13695,0.78,139,0,1,0,0,0
13385,0.61,286,0,0,0,1,0
137,0.42,129,0,0,1,0,0
5300,0.94,198,0,0,1,0,0
4701,0.28,150,0,0,0,1,0
4094,0.3,250,0,0,1,0,1
4400,0.8,135,0,0,0,1,0
3616,0.7,181,0,0,0,1,0
5265,0.66,229,0,0,1,0,0
14287,0.1,295,0,0,0,1,1
